"Cluster"	"Supercluster"	"Size"	"Size_adjusted"	"Automatic_annotation"	"TAREAN_annotation"	"Final_annotation"	"Species_Name"	"N_Reads"	"Genome_Size"
16	2	4772	4772	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_linnaeanum"	951120	2.69
21	2	4133	4133	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_linnaeanum"	951120	2.69
26	2	3888	3888	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_linnaeanum"	951120	2.69
34	2	3351	3351	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_linnaeanum"	951120	2.69
38	2	3034	3034	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_linnaeanum"	951120	2.69
39	2	2985	2985	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_linnaeanum"	951120	2.69
40	2	2887	2887	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_linnaeanum"	951120	2.69
44	2	2608	2608	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_linnaeanum"	951120	2.69
54	2	2145	2145	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_linnaeanum"	951120	2.69
1	3	16869	16869	"All/repeat/mobile_element/Class_I/LTR"	"Other"	"All/repeat/mobile_element/Class_I/LTR"	"Solanum_linnaeanum"	951120	2.69
2	3	10242	10242	"All/repeat/mobile_element/Class_I/LTR"	"Other"	"All/repeat/mobile_element/Class_I/LTR"	"Solanum_linnaeanum"	951120	2.69
29	3	3498	3498	"All/repeat/mobile_element/Class_I/LTR"	"Other"	"All/repeat/mobile_element/Class_I/LTR"	"Solanum_linnaeanum"	951120	2.69
10	4	6670	6670	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_linnaeanum"	951120	2.69
11	4	6090	6090	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_linnaeanum"	951120	2.69
20	4	4243	4243	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_linnaeanum"	951120	2.69
4	4	8215	8215	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_linnaeanum"	951120	2.69
5	5	7283	7283	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
57	5	1997	1997	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
9	5	6935	6935	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
24	6	3990	3990	"All/repeat/mobile_element/Class_I/pararetrovirus"	"Other"	"All/repeat/mobile_element/Class_I/pararetrovirus"	"Solanum_linnaeanum"	951120	2.69
51	6	2351	2351	"All/repeat/mobile_element/Class_I/pararetrovirus"	"Other"	"All/repeat/mobile_element/Class_I/pararetrovirus"	"Solanum_linnaeanum"	951120	2.69
58	6	1986	1986	"All/repeat/mobile_element/Class_I/pararetrovirus"	"Other"	"All/repeat/mobile_element/Class_I/pararetrovirus"	"Solanum_linnaeanum"	951120	2.69
60	6	1896	1896	"All/repeat/mobile_element/Class_I/pararetrovirus"	"Other"	"All/repeat/mobile_element/Class_I/pararetrovirus"	"Solanum_linnaeanum"	951120	2.69
70	6	1655	1655	"All/repeat/mobile_element/Class_I/pararetrovirus"	"Other"	"All/repeat/mobile_element/Class_I/pararetrovirus"	"Solanum_linnaeanum"	951120	2.69
90	6	1318	1318	"All/repeat/mobile_element/Class_I/pararetrovirus"	"Other"	"All/repeat/mobile_element/Class_I/pararetrovirus"	"Solanum_linnaeanum"	951120	2.69
109	7	1091	1091	"All/organelle/plastid"	"Other"	"All/organelle/plastid"	"Solanum_linnaeanum"	951120	2.69
62	7	1837	1837	"All/organelle/plastid"	"Other"	"All/organelle/plastid"	"Solanum_linnaeanum"	951120	2.69
66	7	1778	1778	"All/organelle/plastid"	"Other"	"All/organelle/plastid"	"Solanum_linnaeanum"	951120	2.69
67	7	1774	1774	"All/organelle/plastid"	"Other"	"All/organelle/plastid"	"Solanum_linnaeanum"	951120	2.69
74	7	1535	1535	"All/organelle/plastid"	"Other"	"All/organelle/plastid"	"Solanum_linnaeanum"	951120	2.69
78	7	1468	1468	"All/organelle/plastid"	"Other"	"All/organelle/plastid"	"Solanum_linnaeanum"	951120	2.69
84	7	1347	1347	"All/organelle/plastid"	"Other"	"All/organelle/plastid"	"Solanum_linnaeanum"	951120	2.69
95	7	1267	1267	"All/organelle/plastid"	"Other"	"All/organelle/plastid"	"Solanum_linnaeanum"	951120	2.69
7	8	7105	7105	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
31	9	3450	3450	"All/repeat/mobile_element/Class_I/LTR"	"Other"	"All/repeat/mobile_element/Class_I/LTR"	"Solanum_linnaeanum"	951120	2.69
37	9	3110	3110	"All/repeat/mobile_element/Class_I/LTR"	"Other"	"All/repeat/mobile_element/Class_I/LTR"	"Solanum_linnaeanum"	951120	2.69
32	10	3426	3426	"All/repeat/mobile_element/Class_I/LINE"	"Other"	"All/repeat/mobile_element/Class_I/LINE"	"Solanum_linnaeanum"	951120	2.69
63	10	1801	1801	"All/repeat/mobile_element/Class_I/LINE"	"Other"	"All/repeat/mobile_element/Class_I/LINE"	"Solanum_linnaeanum"	951120	2.69
93	10	1290	1290	"All/repeat/mobile_element/Class_I/LINE"	"Other"	"All/repeat/mobile_element/Class_I/LINE"	"Solanum_linnaeanum"	951120	2.69
13	11	5379	5379	"All/repeat/mobile_element/Class_I/LTR"	"Other"	"All/repeat/mobile_element/Class_I/LTR"	"Solanum_linnaeanum"	951120	2.69
42	12	2752	2752	"All/repeat/mobile_element/Class_I/LTR"	"Other"	"All/repeat/mobile_element/Class_I/LTR"	"Solanum_linnaeanum"	951120	2.69
53	12	2197	2197	"All/repeat/mobile_element/Class_I/LTR"	"Other"	"All/repeat/mobile_element/Class_I/LTR"	"Solanum_linnaeanum"	951120	2.69
18	13	4271	4271	"All/repeat/satellite"	"Putative satellites (low confidence)"	"All/repeat/satellite"	"Solanum_linnaeanum"	951120	2.69
103	14	1158	1158	"All/repeat/mobile_element/Class_I"	"Other"	"All/repeat/mobile_element/Class_I"	"Solanum_linnaeanum"	951120	2.69
140	14	600	600	"All/repeat/mobile_element/Class_I"	"Other"	"All/repeat/mobile_element/Class_I"	"Solanum_linnaeanum"	951120	2.69
48	14	2469	2469	"All/repeat/mobile_element/Class_I"	"Other"	"All/repeat/mobile_element/Class_I"	"Solanum_linnaeanum"	951120	2.69
43	15	2635	2635	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
82	15	1428	1428	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
50	16	2436	2436	"All/repeat/rDNA/45S_rDNA"	"Other"	"All/repeat/rDNA/45S_rDNA"	"Solanum_linnaeanum"	951120	2.69
73	16	1555	1555	"All/repeat/rDNA/45S_rDNA"	"Other"	"All/repeat/rDNA/45S_rDNA"	"Solanum_linnaeanum"	951120	2.69
28	17	3674	3674	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
30	18	3491	3491	"All/repeat/mobile_element/Class_I/LTR"	"Other"	"All/repeat/mobile_element/Class_I/LTR"	"Solanum_linnaeanum"	951120	2.69
132	19	722	722	"All/organelle/plastid"	"Other"	"All/organelle/plastid"	"Solanum_linnaeanum"	951120	2.69
83	19	1383	1383	"All/organelle/plastid"	"Other"	"All/organelle/plastid"	"Solanum_linnaeanum"	951120	2.69
85	19	1342	1342	"All/organelle/plastid"	"Other"	"All/organelle/plastid"	"Solanum_linnaeanum"	951120	2.69
33	20	3408	3408	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_linnaeanum"	951120	2.69
41	21	2879	2879	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
45	22	2557	2557	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_linnaeanum"	951120	2.69
46	23	2529	2529	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
49	24	2442	2442	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
113	25	1003	1003	"All/organelle/plastid"	"Other"	"All/organelle/plastid"	"Solanum_linnaeanum"	951120	2.69
89	25	1321	1321	"All/organelle/plastid"	"Other"	"All/organelle/plastid"	"Solanum_linnaeanum"	951120	2.69
55	26	2017	2017	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/TAR"	"Putative LTR elements"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/TAR"	"Solanum_linnaeanum"	951120	2.69
56	27	2003	2003	"All/organelle/plastid"	"Other"	"All/organelle/plastid"	"Solanum_linnaeanum"	951120	2.69
59	28	1929	1929	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
142	29	558	558	"All/organelle/plastid"	"Other"	"All/organelle/plastid"	"Solanum_linnaeanum"	951120	2.69
91	29	1313	1313	"All/organelle/plastid"	"Other"	"All/organelle/plastid"	"Solanum_linnaeanum"	951120	2.69
61	30	1845	1845	"All/repeat/mobile_element/Class_I/LTR"	"Other"	"All/repeat/mobile_element/Class_I/LTR"	"Solanum_linnaeanum"	951120	2.69
64	31	1784	1784	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
152	32	415	415	"All/organelle/plastid"	"Other"	"All/organelle/plastid"	"Solanum_linnaeanum"	951120	2.69
87	32	1331	1331	"All/organelle/plastid"	"Other"	"All/organelle/plastid"	"Solanum_linnaeanum"	951120	2.69
68	33	1736	1736	"All/organelle/plastid"	"Other"	"All/organelle/plastid"	"Solanum_linnaeanum"	951120	2.69
69	34	1719	1719	"All/organelle/plastid"	"Other"	"All/organelle/plastid"	"Solanum_linnaeanum"	951120	2.69
71	35	1592	1592	"All/organelle/plastid"	"Other"	"All/organelle/plastid"	"Solanum_linnaeanum"	951120	2.69
72	36	1556	1556	"All/organelle/plastid"	"Other"	"All/organelle/plastid"	"Solanum_linnaeanum"	951120	2.69
115	37	940	940	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Solanum_linnaeanum"	951120	2.69
139	37	607	607	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Solanum_linnaeanum"	951120	2.69
75	38	1518	1518	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
76	39	1509	1509	"All/organelle/plastid"	"Other"	"All/organelle/plastid"	"Solanum_linnaeanum"	951120	2.69
