"Cluster"	"Supercluster"	"Size"	"Size_adjusted"	"Automatic_annotation"	"TAREAN_annotation"	"Final_annotation"	"Species_Name"	"N_Reads"	"Genome_Size"
134	79	698	698	"All/organelle/plastid"	"Other"	"All/organelle/plastid"	"Solanum_linnaeanum"	951120	2.69
135	80	684	684	"All/organelle/plastid"	"Other"	"All/organelle/plastid"	"Solanum_linnaeanum"	951120	2.69
136	81	676	676	"All/repeat/mobile_element/Class_I/pararetrovirus"	"Other"	"All/repeat/mobile_element/Class_I/pararetrovirus"	"Solanum_linnaeanum"	951120	2.69
137	82	661	661	"All/organelle/plastid"	"Other"	"All/organelle/plastid"	"Solanum_linnaeanum"	951120	2.69
138	83	632	632	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
141	84	570	570	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
143	85	547	547	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Putative LTR elements"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Solanum_linnaeanum"	951120	2.69
144	86	477	477	"All/organelle/plastid"	"Other"	"All/organelle/plastid"	"Solanum_linnaeanum"	951120	2.69
145	87	458	458	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_linnaeanum"	951120	2.69
146	88	454	454	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
147	89	450	450	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Solanum_linnaeanum"	951120	2.69
148	90	437	437	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Solanum_linnaeanum"	951120	2.69
149	91	434	434	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_linnaeanum"	951120	2.69
150	92	429	429	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
151	93	418	418	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Solanum_linnaeanum"	951120	2.69
153	94	396	396	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
154	95	395	395	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Solanum_linnaeanum"	951120	2.69
155	96	374	374	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila"	"Solanum_linnaeanum"	951120	2.69
156	97	367	367	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Solanum_linnaeanum"	951120	2.69
157	98	366	366	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
158	99	357	357	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
159	100	356	356	"All/repeat/mobile_element/Class_I"	"Other"	"All/repeat/mobile_element/Class_I"	"Solanum_linnaeanum"	951120	2.69
160	101	346	346	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
161	102	336	336	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_linnaeanum"	951120	2.69
162	103	335	335	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_linnaeanum"	951120	2.69
163	104	332	332	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Solanum_linnaeanum"	951120	2.69
164	105	326	326	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
165	106	326	326	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
166	107	324	324	"All/repeat/mobile_element/Class_II/Subclass_1/TIR/PIF_Harbinger"	"Other"	"All/repeat/mobile_element/Class_II/Subclass_1/TIR/PIF_Harbinger"	"Solanum_linnaeanum"	951120	2.69
167	108	323	323	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
168	109	319	319	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
169	110	315	315	"All"	"Other"	"All/organelle/mitochondria"	"Solanum_linnaeanum"	951120	2.69
170	111	303	303	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Alesia"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Alesia"	"Solanum_linnaeanum"	951120	2.69
171	112	303	303	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
172	113	302	302	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
173	114	287	287	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
175	115	284	284	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Solanum_linnaeanum"	951120	2.69
176	116	276	276	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Solanum_linnaeanum"	951120	2.69
177	117	274	274	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
178	118	252	252	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
179	119	251	251	"All"	"Other"	"All"	"Solanum_linnaeanum"	951120	2.69
